Month,Category,Budget,Actual,Savings
30 June 2019,Utilities,3019.66,3477.97,0
22 September 2020,Utilities,2595.9,3320.08,0
14 June 2022,Utilities,2918.12,3711.08,0
27 December 2019,Utilities,3321.08,3535.83,0
21 March 2021,Utilities,3068.57,4110,0
20 May 2021,Utilities,2458.07,3960.22,0
09 February 2023,Utilities,2832.87,4399.76,0
16 December 2021,Utilities,2721.29,3963.88,0
12 September 2022,Utilities,3214.17,4907.5,0
02 March 2019,Utilities,2118.33,4154.02,0
24 July 2020,Utilities,2914.36,4170.8,0
16 November 2021,Utilities,3132.17,3692.28,0
16 March 2022,Utilities,3406.47,4052.4,0
19 February 2021,Utilities,1757.66,4145.23,0
19 June 2021,Utilities,3143.54,3579.36,0
07 September 2023,Utilities,3128.3,3489.9,0
01 May 2019,Utilities,2424.83,4021.32,0
25 February 2020,Utilities,2787.08,3413.53,0
23 August 2020,Utilities,2701.57,1967.28,0
22 September 2020,Utilities,3088.37,2365.86,0
15 January 2022,Utilities,3205.74,3484.6,0
25 February 2020,Utilities,2401.72,4038.02,0
15 April 2022,Utilities,2938.38,3240.64,0
28 September 2019,Utilities,2498.29,2489.11,0
24 June 2020,Utilities,2429.85,3011.2,0
17 October 2021,Utilities,2775.48,2613.5,0
08 August 2023,Utilities,2217.87,2700.13,0
01 May 2019,Utilities,2931.69,2411.77,0
28 October 2019,Utilities,2507.33,3775.44,0
13 August 2022,Utilities,1598.06,3645.56,0
21 December 2020,Utilities,4038.47,4208.1,0
19 June 2021,Utilities,1981.61,3206.4,0
09 February 2023,Utilities,2761.14,4313.45,0
15 January 2022,Utilities,2809.77,5236.64,0
10 April 2023,Utilities,2427.39,3680.73,0
01 January 2019,Utilities,3239.51,3956.38,0
31 January 2019,Utilities,3118.63,4439.4,0
28 September 2019,Utilities,2225.03,4040.85,0
21 November 2020,Utilities,1759.53,4551.2,0
15 January 2022,Utilities,2935.76,3325.89,0
30 June 2019,Utilities,3543.42,3386.36,0
27 November 2019,Utilities,3185.65,2938.03,0
20 May 2021,Utilities,3159.22,3789.75,0
13 August 2022,Utilities,1918.74,3815.77,0
08 August 2023,Utilities,2110.84,3986.1,0
09 June 2023,Utilities,3754.86,3161.37,0
29 August 2019,Utilities,2721.65,4431.57,0
