Department,JobLevel,JobRole,BusinessTravel,OverTime,PerformanceRating,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,TrainingTimesLastYear,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,4,4,1,3,2,3,12,4,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,4,3,3,4,3,2,1,1,1,0,0,0,No
Research & Development,1,Laboratory Technician,Non-Travel,Yes,3,4,4,4,2,2,1,1,1,0,0,0,No
Sales,2,Sales Representative,Travel_Rarely,No,3,3,4,4,4,6,19,3,1,0,0,0,Yes
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,4,3,3,3,1,1,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,1,4,3,6,1,1,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,No,4,3,2,2,3,1,8,4,1,0,0,0,No
Research & Development,3,Laboratory Technician,Travel_Rarely,Yes,3,2,3,1,3,2,23,9,1,0,0,0,Yes
Research & Development,3,Research Scientist,Travel_Rarely,No,3,3,1,2,3,2,25,2,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,3,2,3,4,2,0,2,0,1,0,0,0,Yes
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,4,4,2,3,3,5,3,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,1,4,3,2,1,1,1,0,0,0,No
Research & Development,2,Healthcare Representative,Non-Travel,No,3,2,4,3,4,2,17,5,1,0,0,0,No
Research & Development,2,Research Scientist,Travel_Rarely,No,3,2,2,3,3,3,12,6,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,4,3,4,1,3,2,7,5,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,2,2,3,3,1,1,1,0,0,0,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,3,2,3,2,3,2,10,2,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,4,2,2,2,2,3,9,4,1,0,0,0,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,3,3,3,4,3,3,14,9,1,0,0,0,No
Research & Development,2,Healthcare Representative,Travel_Rarely,Yes,3,3,1,2,3,2,17,7,1,0,0,0,Yes
Sales,3,Manager,Travel_Rarely,Yes,3,3,4,4,3,3,16,3,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,2,4,3,3,6,7,3,1,0,0,0,No
Research & Development,2,Research Scientist,Travel_Rarely,No,3,3,1,3,2,2,17,2,1,0,0,0,No
Research & Development,3,Manufacturing Director,Travel_Frequently,No,3,3,3,1,3,5,17,6,1,0,0,0,Yes
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,4,3,2,0,1,1,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Frequently,Yes,4,3,3,4,1,0,19,3,1,0,0,0,Yes
Research & Development,1,Laboratory Technician,Travel_Frequently,No,3,4,4,3,3,2,4,4,1,0,0,0,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,3,4,2,3,12,4,1,0,0,0,Yes
Research & Development,3,Healthcare Representative,Travel_Rarely,No,3,3,1,3,2,1,10,8,1,0,0,0,No
Research & Development,4,Research Director,Travel_Rarely,No,3,3,4,1,3,2,16,2,1,0,0,0,No
Research & Development,2,Healthcare Representative,Travel_Rarely,No,4,2,4,1,3,6,14,3,1,0,0,0,No
Sales,2,Sales Executive,Non-Travel,No,3,3,4,4,3,6,7,4,1,0,0,0,No
Sales,1,Sales Representative,Travel_Rarely,Yes,3,3,3,4,3,2,1,1,1,0,0,0,Yes
Research & Development,2,Manufacturing Director,Non-Travel,No,3,3,3,3,4,2,7,2,1,0,0,0,No
Sales,1,Sales Representative,Travel_Rarely,No,3,4,2,3,3,0,1,1,1,0,0,0,Yes
Sales,1,Sales Representative,Travel_Rarely,No,3,3,2,3,3,3,1,1,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Frequently,Yes,4,3,4,3,3,4,3,9,1,0,0,0,Yes
Research & Development,2,Laboratory Technician,Travel_Rarely,No,4,2,3,2,3,3,20,6,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Frequently,Yes,4,3,4,4,3,3,1,1,1,0,0,0,No
Human Resources,1,Human Resources,Travel_Rarely,No,3,2,4,1,4,3,1,1,1,0,0,0,Yes
Sales,4,Manager,Travel_Rarely,No,3,2,4,1,2,3,32,3,1,0,0,0,No
Research & Development,2,Laboratory Technician,Travel_Rarely,No,3,3,3,3,3,3,19,7,1,0,0,0,No
Research & Development,3,Healthcare Representative,Travel_Frequently,No,3,3,3,1,3,2,12,3,1,0,0,0,Yes
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,3,1,4,3,1,3,1,1,1,0,0,0,Yes
Research & Development,2,Healthcare Representative,Travel_Rarely,No,3,3,3,3,3,4,18,3,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,4,2,2,4,3,2,1,1,1,0,0,0,No
Sales,1,Sales Representative,Travel_Frequently,No,3,2,1,2,4,2,1,1,1,0,0,0,Yes
Research & Development,1,Research Scientist,Travel_Rarely,No,3,2,2,4,4,0,1,1,1,0,0,0,No
Research & Development,4,Research Director,Travel_Rarely,Yes,3,2,4,2,2,3,21,4,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Frequently,No,4,3,3,3,3,2,1,1,1,0,0,0,No
Research & Development,1,Laboratory Technician,Non-Travel,No,3,2,3,3,3,3,1,1,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,4,4,4,3,2,4,3,1,0,0,0,No
Research & Development,3,Manufacturing Director,Travel_Rarely,Yes,3,3,3,3,4,4,10,4,1,0,0,0,No
Sales,1,Sales Representative,Travel_Rarely,No,3,3,3,3,3,6,1,1,1,0,0,0,No
Research & Development,2,Healthcare Representative,Non-Travel,No,3,3,1,4,4,2,16,2,1,0,0,0,No
Research & Development,1,Laboratory Technician,Non-Travel,No,3,2,2,3,3,4,1,1,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,3,2,1,2,3,1,1,1,1,0,0,0,Yes
Research & Development,2,Laboratory Technician,Travel_Frequently,No,3,2,3,1,3,6,10,6,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,2,3,2,3,3,1,1,1,0,0,0,No
Sales,2,Sales Executive,Travel_Rarely,No,3,2,3,4,3,2,9,4,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Frequently,Yes,3,2,4,4,2,3,3,9,1,0,0,0,Yes
Research & Development,2,Manufacturing Director,Travel_Rarely,No,4,3,2,1,4,2,4,4,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,4,4,2,3,1,1,1,0,0,0,Yes
Sales,1,Sales Representative,Travel_Rarely,Yes,3,2,2,3,3,2,1,1,1,0,0,0,Yes
Sales,3,Sales Executive,Travel_Rarely,No,3,2,2,1,2,2,11,2,1,0,0,0,No
Sales,1,Sales Representative,Travel_Rarely,Yes,3,2,2,4,4,3,1,1,1,0,0,0,Yes
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,1,1,3,2,1,1,1,0,0,0,Yes
Research & Development,1,Research Scientist,Travel_Rarely,No,4,3,3,4,3,4,7,4,1,0,0,0,Yes
Sales,4,Sales Executive,Non-Travel,Yes,3,4,2,2,2,2,22,4,1,0,0,0,Yes
Research & Development,1,Research Scientist,Travel_Rarely,Yes,3,2,1,4,3,2,1,1,1,0,0,0,Yes
Sales,5,Manager,Travel_Rarely,No,3,3,3,4,4,3,21,6,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,4,1,3,5,8,4,1,0,0,0,No
Research & Development,2,Healthcare Representative,Travel_Rarely,No,3,1,2,1,1,2,15,5,1,0,0,0,Yes
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,4,2,3,1,19,8,1,0,0,0,No
Research & Development,2,Laboratory Technician,Travel_Rarely,No,3,3,3,1,2,3,9,7,1,0,0,0,Yes
Sales,1,Sales Representative,Travel_Rarely,No,4,3,2,4,3,5,1,1,1,0,0,0,No
Sales,3,Sales Executive,Travel_Rarely,No,3,2,4,3,3,5,18,5,1,0,0,0,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,2,4,4,3,5,8,2,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Frequently,No,3,2,2,1,3,2,1,1,1,0,0,0,Yes
Sales,3,Sales Executive,Travel_Rarely,No,3,3,2,4,3,2,10,7,1,0,0,0,No
Research & Development,2,Laboratory Technician,Travel_Rarely,No,3,1,4,2,3,3,16,4,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,3,3,4,2,3,4,6,3,1,0,0,0,No
Sales,1,Sales Representative,Non-Travel,No,3,3,1,3,3,3,1,1,1,0,0,0,No
Research & Development,1,Research Scientist,Non-Travel,No,3,2,1,1,1,2,5,6,1,0,0,0,Yes
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,2,4,1,3,1,1,1,0,0,0,Yes
Research & Development,3,Research Director,Travel_Frequently,Yes,3,3,1,1,3,6,20,3,1,0,0,0,No
Research & Development,5,Manager,Travel_Rarely,No,3,2,3,1,4,2,23,2,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,4,2,4,2,4,7,5,1,0,0,0,No
Research & Development,5,Research Director,Travel_Rarely,No,3,2,4,4,4,3,25,6,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,4,3,3,2,5,2,0,1,0,0,0,No
Research & Development,2,Research Scientist,Travel_Rarely,Yes,3,4,2,2,3,2,18,6,1,0,0,0,No
Sales,1,Sales Representative,Travel_Rarely,No,3,4,4,3,3,4,5,8,1,0,0,0,No
Sales,1,Sales Representative,Travel_Frequently,No,3,2,4,3,4,3,3,7,1,0,0,0,Yes
Sales,1,Sales Representative,Travel_Frequently,No,3,1,3,2,3,3,1,1,1,0,0,0,Yes
Research & Development,1,Research Scientist,Travel_Rarely,No,3,2,2,1,4,3,1,1,1,0,0,0,Yes
Research & Development,1,Laboratory Technician,Non-Travel,Yes,4,2,1,1,4,2,11,2,1,0,0,0,Yes
Sales,2,Sales Executive,Travel_Frequently,No,3,3,3,1,2,4,11,7,1,0,0,0,No
Research & Development,1,Research Scientist,Non-Travel,No,3,3,3,3,2,2,1,1,1,0,0,0,No
Sales,1,Sales Representative,Travel_Rarely,No,3,3,3,4,3,3,1,1,1,0,0,0,No
Sales,1,Sales Representative,Non-Travel,No,3,3,2,4,3,2,1,1,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,2,3,1,1,2,1,1,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,2,2,3,3,3,4,4,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,4,3,3,2,2,5,6,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,3,3,1,1,3,2,1,1,1,0,0,0,Yes
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,4,1,1,4,1,1,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,No,4,3,4,1,3,5,1,1,1,0,0,0,No
Sales,2,Sales Executive,Travel_Rarely,No,3,3,3,2,3,5,15,6,1,0,0,0,No
Sales,5,Manager,Travel_Rarely,Yes,3,3,3,3,3,2,27,4,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,2,4,3,2,1,1,1,0,0,0,Yes
Research & Development,3,Healthcare Representative,Travel_Rarely,No,4,1,4,3,4,2,19,3,1,0,0,0,No
Human Resources,1,Human Resources,Travel_Rarely,No,3,1,3,4,3,2,1,1,1,0,0,0,Yes
Research & Development,2,Manufacturing Director,Travel_Rarely,Yes,3,3,1,2,3,3,18,2,1,0,0,0,No
Sales,2,Sales Executive,Non-Travel,No,3,3,2,3,1,3,4,7,1,0,0,0,No
Sales,3,Sales Executive,Travel_Rarely,No,3,3,3,1,3,2,10,2,1,0,0,0,Yes
Research & Development,1,Research Scientist,Travel_Rarely,No,3,2,1,4,3,2,1,1,1,0,0,0,No
Research & Development,1,Research Scientist,Travel_Frequently,Yes,3,2,3,3,3,4,6,9,1,0,0,0,Yes
Research & Development,5,Research Director,Travel_Rarely,No,3,2,1,3,3,2,34,8,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,3,3,1,3,3,6,1,1,1,0,0,0,Yes
Human Resources,1,Human Resources,Travel_Rarely,No,3,4,1,4,3,4,2,0,1,0,0,0,Yes
Research & Development,2,Research Scientist,Travel_Rarely,Yes,4,3,2,4,3,2,15,4,1,0,0,0,No
Human Resources,1,Human Resources,Travel_Rarely,No,3,2,2,4,3,3,1,1,1,0,0,0,No
Sales,1,Sales Representative,Travel_Rarely,No,3,3,2,2,3,3,1,1,1,0,0,0,No
Sales,1,Sales Representative,Travel_Rarely,No,3,3,4,2,2,3,1,1,1,0,0,0,Yes
Research & Development,1,Research Scientist,Travel_Rarely,Yes,4,3,2,4,3,2,1,1,1,0,0,0,Yes
Sales,1,Sales Representative,Travel_Frequently,No,3,4,1,3,3,3,1,1,1,0,0,0,Yes
Sales,4,Manager,Travel_Rarely,Yes,3,3,4,4,2,2,29,4,1,0,0,0,No
Human Resources,1,Human Resources,Travel_Frequently,No,3,2,2,1,3,2,1,1,1,0,0,0,Yes
Sales,1,Sales Representative,Travel_Rarely,No,3,2,1,1,2,3,20,4,1,0,0,0,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,4,2,4,4,3,1,8,8,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,3,1,4,4,3,4,1,1,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,4,1,2,3,8,8,1,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,4,3,3,3,7,4,1,1,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,3,2,1,2,4,3,6,9,1,1,0,0,No
Research & Development,2,Healthcare Representative,Travel_Rarely,No,3,2,2,3,3,5,10,9,1,1,0,0,No
Sales,2,Sales Executive,Travel_Frequently,No,3,3,1,1,3,4,5,2,1,1,0,0,Yes
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,3,2,3,2,1,1,1,1,0,0,No
Research & Development,1,Research Scientist,Travel_Frequently,Yes,3,3,2,4,3,2,3,8,1,1,0,0,No
Sales,1,Sales Representative,Travel_Rarely,Yes,3,3,3,3,3,2,1,1,1,1,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,4,3,3,1,2,0,1,1,1,1,0,0,Yes
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,3,3,4,3,2,4,1,1,1,1,0,0,Yes
Research & Development,2,Research Scientist,Travel_Frequently,Yes,3,2,4,3,1,3,16,3,1,1,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,No,4,3,1,3,3,4,1,1,1,1,0,0,No
Research & Development,1,Research Scientist,Non-Travel,Yes,4,2,2,1,4,2,1,1,1,1,0,0,Yes
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,2,1,3,3,3,2,0,1,1,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,3,3,2,3,3,3,1,1,1,1,0,0,Yes
Research & Development,1,Laboratory Technician,Non-Travel,No,3,2,3,2,2,2,1,1,1,1,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,3,2,3,4,3,3,7,6,0,0,0,0,Yes
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,4,3,3,6,0,1,0,0,0,0,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,2,4,3,2,2,5,7,2,2,0,0,No
Research & Development,3,Research Director,Travel_Rarely,Yes,3,3,1,4,4,3,17,4,0,0,0,0,No
Sales,1,Sales Representative,Travel_Rarely,No,3,3,1,3,3,3,3,3,0,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,4,2,3,5,1,1,0,0,0,0,No
Sales,1,Sales Representative,Travel_Rarely,Yes,3,3,3,4,2,2,0,1,0,0,0,0,Yes
Sales,1,Sales Representative,Travel_Frequently,No,4,1,1,3,4,5,1,0,0,0,0,0,Yes
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,3,1,1,5,5,2,0,0,0,0,Yes
Sales,2,Sales Executive,Travel_Rarely,No,3,2,2,1,3,2,10,2,0,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,3,3,3,2,0,1,0,0,0,0,Yes
Sales,1,Sales Representative,Travel_Rarely,No,3,2,3,4,3,2,0,1,0,0,0,0,No
Research & Development,2,Laboratory Technician,Travel_Frequently,No,3,2,3,3,4,3,9,1,9,7,0,0,No
Sales,2,Sales Representative,Travel_Frequently,No,3,3,3,2,3,3,5,3,0,0,0,0,No
Sales,3,Manager,Travel_Rarely,No,4,3,3,1,1,3,15,3,0,0,0,0,No
Research & Development,3,Healthcare Representative,Travel_Rarely,No,4,2,3,2,3,2,26,8,5,2,0,0,No
Research & Development,3,Healthcare Representative,Travel_Rarely,Yes,3,3,3,4,3,2,10,4,8,7,0,0,No
Sales,1,Sales Representative,Travel_Frequently,Yes,3,3,2,2,3,3,0,1,0,0,0,0,Yes
Sales,2,Sales Executive,Travel_Rarely,No,3,3,3,1,3,5,8,5,0,0,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,1,3,2,3,8,3,0,0,0,0,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,3,3,1,2,3,3,7,3,0,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,4,4,1,3,3,2,1,1,0,0,0,0,Yes
Research & Development,2,Manufacturing Director,Travel_Rarely,Yes,4,2,4,3,2,4,12,5,0,0,0,0,No
Research & Development,1,Research Scientist,Non-Travel,No,3,3,4,4,2,6,0,1,0,0,0,0,No
Research & Development,4,Manufacturing Director,Travel_Frequently,No,4,2,4,3,3,3,31,3,9,8,0,0,No
Sales,1,Sales Representative,Travel_Frequently,No,3,3,4,3,3,3,10,5,5,4,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,3,4,2,2,13,4,0,0,0,0,No
Sales,2,Sales Executive,Non-Travel,No,3,3,3,4,2,2,9,1,9,8,0,0,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,4,2,1,4,3,5,3,6,0,0,0,0,Yes
Research & Development,1,Research Scientist,Non-Travel,No,3,3,4,2,3,2,0,1,0,0,0,0,No
Sales,2,Sales Executive,Travel_Frequently,Yes,3,3,3,4,3,4,5,3,0,0,0,0,Yes
Research & Development,1,Research Scientist,Non-Travel,No,3,2,4,3,3,2,6,3,0,0,0,0,No
Research & Development,1,Laboratory Technician,Non-Travel,No,3,3,3,3,3,0,0,1,0,0,0,0,Yes
